[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/turtle.png" [Client 192.168.88.20] [Length 203] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/arrow-up.png" [Client 192.168.88.20] [Length 145] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/toolbar-info.png" [Client 192.168.88.20] [Length 1529] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:19 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 739] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 213] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 76] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:19 +0000] - 200 200 - POST http torrent.bapuhome.net "/transmission/rpc" [Client 192.168.88.20] [Length 2753] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
[11/Jul/2021:09:50:20 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/buttons/torrent_buttons.png" [Client 192.168.88.20] [Length 1164] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:20 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/style/transmission/images/progress.png" [Client 192.168.88.20] [Length 781] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/style/transmission/common.css"
[11/Jul/2021:09:50:20 +0000] - 200 200 - GET http torrent.bapuhome.net "/transmission/web/images/favicon.png" [Client 192.168.88.20] [Length 706] [Gzip -] [Sent-to 192.168.88.3] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36" "http://torrent.bapuhome.net/transmission/web/"
